熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,latitude,longitude,
tainan熱點,新市區圖書館,文教藝文,101,新市區,新市里,744臺南市新市區新市里民族路192號,23.0797127,120.2963793,
tainan熱點,新營文化中心,文教藝文,99,新營區,民權里,730臺南市新營區民權里中正路23號,23.308449,120.315953,
tainan熱點,新營區圖書館,文教藝文,101,新營區,太北里,730臺南市新營區太北里45-8號,23.2954576,120.2738413,
tainan熱點,楠西區圖書館,文教藝文,101,楠西區,東勢里,715臺南市楠西區東勢里中正路309號,23.1724337,120.4871878,
tainan熱點,臺南文化中心,文教藝文,99,東區,崇學里,701臺南市東區崇學里中華東路三段332號,22.9747216,120.2215852,
tainan熱點,臺南市立圖書館,文教藝文,101,北區,公園里,704臺南市北區公園里公園北路3號,23.0036811,120.2121579,
tainan熱點,學甲區圖書館,文教藝文,101,學甲區,仁得里,726臺南市學甲區仁得里建國路38號3樓,23.2302094,120.1817447,
tainan熱點,蕭壠文化中心,文教藝文,99,佳里區,六安里,722臺南市佳里區六安里130號,23.173168,120.179117,
tainan熱點,龍崎區圖書館,文教藝文,101,龍崎區,崎頂里,719臺南市龍崎區崎頂里41號,22.9688808,120.3839017,
tainan熱點,總爺藝文中心,文教藝文,99,麻豆區,南勢里,721臺南市麻豆區南勢里總爺5號,23.1845769,120.2683593,
tainan熱點,歸仁文化中心,文教藝文,99,歸仁區,許厝里,711臺南市歸仁區許厝里信義南路78號,22.9636184,120.2997907,
tainan熱點,歸仁區圖書館,文教藝文,101,歸仁區,歸仁里,711臺南市歸仁區歸仁里大德路127號,22.9719806,120.2975262,
tainan熱點,關廟區圖書館,文教藝文,101,關廟區,關廟里,718臺南市關廟區關廟里文化街1號,22.9590429,120.3239875,
tainan熱點,鹽水區圖書館,文教藝文,101,鹽水區,橋南里,737臺南市鹽水區橋南里月津路14-1號,23.3163423,120.2663944,
tainan熱點,北區兒童科學館,文教藝文,103,北區,公園里,70448臺南市北區公園北路5號,23.003889,120.211423,
tainan熱點,七股區公所,行政機關,102,七股區,大埕里,724臺南市七股區大埕里377號,23.1453614,120.144496,
tainan熱點,七股區衛生所,行政機關,103,七股區,大埕里,724臺南市七股區大埕里379號,23.1453614,120.144496,
tainan熱點,下營區公所,行政機關,102,下營區,下營里,735臺南市下營區下營里中山路一段170號,23.2358075,120.2645709,
tainan熱點,下營區衛生所,行政機關,103,下營區,營前里,735臺南市下營區營前里中山路2段137號,23.2257999,120.2666234,
tainan熱點,大內區公所,行政機關,102,大內區,大內里,742臺南市大內區大內里1號,23.1195988,120.3622866,
tainan熱點,大內區衛生所,行政機關,103,大內區,大內里,742臺南市大內區大內里2號,23.118461,120.362049,
tainan熱點,山上區公所,行政機關,102,山上區,南洲里,743臺南市山上區南洲里325號,23.0958254,120.3478746,
tainan熱點,山上區衛生所,行政機關,103,山上區,山上里,743臺南市山上區山上里35-2號,23.101435,120.3594043,
tainan熱點,中西區公所,行政機關,102,中西區,銀同里,700臺南市中西區銀同里開山路1號,22.9922404,120.2055998,
tainan熱點,中西區衛生所,行政機關,103,中西區,安海里,700臺南市中西區安海里環河街94號,22.995876,120.192395,
tainan熱點,仁德區公所,行政機關,102,仁德區,仁德里,717臺南市仁德區仁德里中正路三段5號,22.9919824,120.2565195,
tainan熱點,仁德區衛生所,行政機關,103,仁德區,仁德里,717臺南市仁德區仁德里中山路606巷2號,22.9720939,120.2512429,
tainan熱點,六甲區公所,行政機關,102,六甲區,水林里,734臺南市六甲區水林里中山路202號,23.2323424,120.3446554,
tainan熱點,六甲區衛生所,行政機關,103,六甲區,二甲里,734臺南市六甲區二甲里中華路110號,23.2245644,120.347393,
tainan熱點,北門區公所,行政機關,102,北門區,北門里,727臺南市北門區北門里108號,23.2661521,120.125729,
tainan熱點,北門區衛生所,行政機關,103,北門區,永隆里,727臺南市北門區永隆里港北50號,23.2710919,120.121338,
tainan熱點,北區區公所,行政機關,102,北區,五福里,704臺南市北區五福里成功路238巷7號,22.9995792,120.2029467,
tainan熱點,北區衛生所,行政機關,103,北區,公園里,704臺南市北區公園里西華街50號,23.0001146,120.2108379,
tainan熱點,左鎮區公所,行政機關,102,左鎮區,中正里,713臺南市左鎮區中正里171-4號,23.0679769,120.409835,
tainan熱點,左鎮區衛生所,行政機關,103,左鎮區,中正里,713臺南市左鎮區中正里172-15號,23.0679769,120.409835,
tainan熱點,永康區公所,行政機關,102,永康區,永康里,710臺南市永康區永康里中山南路655號,23.0262698,120.2568896,
tainan熱點,永康區衛生所,行政機關,103,永康區,永康里,710臺南市永康區永康里文化路51號,23.016505,120.26125,
tainan熱點,玉井區公所,行政機關,102,玉井區,玉井里,714臺南市玉井區玉井里中正路27號,23.1218932,120.4593369,
tainan熱點,玉井區衛生所,行政機關,103,玉井區,玉田里,714臺南市玉井區玉田里中正路5號,23.1212257,120.4590784,
tainan熱點,白河區公所,行政機關,102,白河區,永安里,732臺南市白河區永安里三民路381號,23.3512886,120.415752,
tainan熱點,白河區衛生所,行政機關,103,白河區,永安里,732臺南市白河區永安里國光路5號,23.352012,120.415777,
tainan熱點,安平區公所,行政機關,102,安平區,平通里,708臺南市安平區平通里育平路316號,22.994534,120.1688343,
tainan熱點,安平區衛生所,行政機關,103,安平區,平通里,708臺南市安平區平通里育平路310號,22.9943652,120.1682577,
tainan熱點,安定區公所,行政機關,102,安定區,安定里,745臺南市安定區安定里59號,23.1230549,120.2443251,
tainan熱點,安定區衛生所,行政機關,103,安定區,安定里,745臺南市安定區安定里安定59-1號,23.1230549,120.2443251,
tainan熱點,安南區公所,行政機關,102,安南區,溪心里,709臺南市安南區溪心里安中路二段308號,23.0472321,120.184714,
tainan熱點,安南區衛生所,行政機關,103,安南區,淵東里,709臺南市安南區淵東里仁安路70號,23.0498419,120.1757919,
tainan熱點,安南稅務分局,行政機關,103,安南區,溪心里,709臺南市安南區溪心里安中路三段139號,23.0476213,120.180795,
tainan熱點,西港區公所,行政機關,102,西港區,西港里,723臺南市西港區西港里文化路1號,23.1249469,120.2076403,
tainan熱點,西港區衛生所,行政機關,103,西港區,西港里,722臺南市西港區西港里中山路368號,23.1623059,120.176793,
tainan熱點,佳里區公所,行政機關,102,佳里區,六安里,722臺南市佳里區六安里忠孝路5號,23.1652557,120.1770403,
tainan熱點,佳里區衛生所,行政機關,103,佳里區,東寧里,722臺南市佳里區東寧里進學路159號,23.1635269,120.177701,
tainan熱點,佳里稅務分局,行政機關,103,佳里區,六安里,722臺南市佳里區六安里忠孝路25號,23.1653583,120.1757867,
tainan熱點,官田區公所,行政機關,102,官田區,隆田里,720臺南市官田區隆田里中山路一段132號,23.1928387,120.3158307,
tainan熱點,官田區衛生所,行政機關,103,官田區,隆田里,720臺南市官田區隆田里中山路1段128號,23.1928272,120.3162812,
tainan熱點,東山區公所,行政機關,102,東山區,東山里,733臺南市東山區東山里225號,23.3263299,120.4039659,
tainan熱點,東山區衛生所,行政機關,103,東山區,東山里,733臺南市東山區東山里236號,23.3263299,120.4039659,
tainan熱點,東區區公所,行政機關,102,東區,崇信里,701臺南市東區崇信里崇學路100號,22.9802421,120.224004,
tainan熱點,東區衛生所,行政機關,103,東區,龍山里,701臺南市東區龍山里林森路一段418號,22.9849348,120.2219427,
tainan熱點,南化區公所,行政機關,102,南化區,南化里,716臺南市南化區南化里230號,23.0426147,120.478965,
tainan熱點,南化區衛生所,行政機關,103,南化區,南化里,716臺南市南化區南化里226-1號,23.0452909,120.4799909,
tainan熱點,南區區公所,行政機關,102,南區,南都里,702臺南市南區南都里明興路2號,22.9611651,120.1887336,
tainan熱點,南區衛生所,行政機關,103,南區,南都里,702臺南市南區南都里南和路6號,22.9606621,120.187913,
tainan熱點,後壁區公所,行政機關,102,後壁區,後壁里,731臺南市後壁區後壁里6鄰129號,23.3632139,120.3579632,
tainan熱點,後壁區衛生所,行政機關,103,後壁區,後壁里,731臺南市後壁區後壁里3號,23.367781,120.363133,
tainan熱點,柳營區公所,行政機關,102,柳營區,士林里,736臺南市柳營區士林里柳營路二段59號,23.2774169,120.3123024,
tainan熱點,柳營區衛生所,行政機關,103,柳營區,士林里,736臺南市柳營區士林里54-5號,23.2754352,120.3103958,
tainan熱點,將軍區公所,行政機關,102,將軍區,忠興里,725臺南市將軍區忠興里190號,23.2018481,120.1632603,
tainan熱點,將軍區衛生所,行政機關,103,將軍區,忠興里,725臺南市將軍區忠興里忠興185-6號,23.2012987,120.1604907,
tainan熱點,麻豆區公所,行政機關,102,麻豆區,東角里,721臺南市麻豆區東角里忠孝路250號,23.1849466,120.2584452,
tainan熱點,麻豆區衛生所,行政機關,103,麻豆區,巷口里,721臺南市麻豆區巷口里興國路11-1號,23.1826449,120.248478,
tainan熱點,善化區公所,行政機關,102,善化區,光文里,741臺南市善化區光文里建國路190號,23.1323923,120.2967412,
tainan熱點,善化區衛生所,行政機關,103,善化區,光文里,741臺南市善化區光文里三民路16號,23.1285173,120.2867935,
tainan熱點,新化區公所,行政機關,102,新化區,護國里,712臺南市新化區護國里中山路130號,23.0373346,120.310462,
tainan熱點,新化區衛生所,行政機關,103,新化區,豐榮里,712臺南市新化區豐榮里健康路143號,23.0344536,120.3049202,
tainan熱點,新化稅務分局,行政機關,103,新化區,太平里,712臺南市新化區太平里中正路586號,23.0420196,120.3057698,
tainan熱點,新市區公所,行政機關,102,新市區,新市里,744臺南市新市區新市里中興街12號,23.0781138,120.2937125,
tainan熱點,新市區衛生所,行政機關,103,新市區,新市里,744臺南市新市區新市里中興街12號,23.0781138,120.2937125,
tainan熱點,新營區公所,行政機關,102,新營區,大宏里,730臺南市新營區大宏里中正路30號,23.3102765,120.316576,
tainan熱點,新營區衛生所,行政機關,103,新營區,大宏里,730臺南市新營區大宏里三民路72號,23.307466,120.317153,
tainan熱點,楠西區公所,行政機關,102,楠西區,楠西里,715臺南市楠西區楠西里中正路230號,23.1760554,120.4850329,
tainan熱點,楠西區衛生所,行政機關,103,楠西區,楠西里,715臺南市楠西區楠西里中正路226號,23.1744224,120.4863955,
tainan熱點,臺南市立仁愛之家,行政機關,103,安南區,州南里,709臺南市安南區州南里長和路二段36號,23.0638506,120.2216989,
tainan熱點,臺南市政府民治市政中心,行政機關,99,新營區,忠政里,730臺南市新營區忠政里民治路36號,23.3115468,120.3147263,
tainan熱點,臺南市政府永華市政中心,行政機關,99,安平區,建平里,708臺南市安平區建平里永華路二段6號,22.9917228,120.1849971,
tainan熱點,臺南市政府稅務總局,行政機關,102,中西區,進學里,700臺南市中西區進學里忠義路一段96號,22.9878472,120.2020776,
tainan熱點,新營稅務分局,行政機關,99,新營區,忠政里,730臺南市新營區忠政里民治路36號,23.311147,120.314274,
tainan熱點,臺南市政府環保局(永華辦公室),行政機關,102,東區,東聖里,701臺南市東區中華東路二段133巷72號,22.9847431,120.235168,
tainan熱點,臺南市政府環保局(民治辦公室),行政機關,103,新營區,埤寮里,730臺南市新營區長榮路二段78號,23.32128,120.309929,
tainan熱點,臺南市無障礙福利之家,行政機關,103,東區,大學里,701臺南市東區大學里林森路2段500號,23.0002171,120.2247351,
tainan熱點,學甲區公所,行政機關,102,學甲區,仁得里,726臺南市學甲區仁得里華宗路313號,23.2304693,120.1823338,
tainan熱點,學甲區衛生所,行政機關,103,學甲區,仁得里,726臺南市學甲區仁得里建國路38號1樓,23.2302094,120.1817447,
tainan熱點,龍崎區公所,行政機關,102,龍崎區,崎頂里,719臺南市龍崎區崎頂里新市子103號,22.966049,120.360127,
tainan熱點,龍崎區衛生所,行政機關,103,龍崎區,崎頂里,719臺南市龍崎區崎頂里新市子158號,22.966049,120.360127,
tainan熱點,歸仁區公所,行政機關,102,歸仁區,後市里,711臺南市歸仁區後市里中山路二段二號,22.9667832,120.289801,
tainan熱點,歸仁區衛生所,行政機關,103,歸仁區,後市里,711臺南市歸仁區後市里中正北路一段1號,22.9686846,120.2941989,
tainan熱點,關廟區公所,行政機關,102,關廟區,香洋里,718臺南市關廟區香洋里中正路998號,22.9627487,120.3276665,
tainan熱點,關廟區衛生所,行政機關,103,關廟區,山西里,718臺南市關廟區山西里中正路1000號,22.9627487,120.3276665,
tainan熱點,鹽水區公所,行政機關,102,鹽水區,水仙里,737臺南市鹽水區水仙里中山路47號,23.3199452,120.2661186,
tainan熱點,鹽水區衛生所,行政機關,103,鹽水區,中境里,737臺南市鹽水區中境里武廟路1號,23.3202036,120.2653704,
tainan熱點,七股區中寮社區關懷據點,社區發展,103,七股區,中寮里,724臺南市七股區中寮里64-1號,23.1567918,120.1156226,
tainan熱點,下營區中營社區關懷據點,社區發展,103,下營區,中營里,735臺南市下營區開化里中營242號,23.2137363,120.2764331,
tainan熱點,下營區賀建社區關懷據點,社區發展,103,下營區,賀建里,735臺南市下營區賀建里火燒珠10-1號,23.256646,120.279163,
tainan熱點,大內區環湖社區關懷據點,社區發展,103,大內區,環湖里,742臺南市大內區環湖里56號,23.1736117,120.4300017,
tainan熱點,山上區玉峰里關懷據點,社區發展,103,山上區,玉峰里,743臺南市山上區玉峰里蚵殼潭35號,23.0951559,120.3954282,
tainan熱點,中西區西賢里關懷據點,社區發展,103,中西區,西賢里,700臺南市中西區西賢里民權路四段470號,22.9998986,120.1732096,
tainan熱點,中西區林澄輝社福基金會關懷據點(藥王里、民權里、協進里),社區發展,103,中西區,藥王里,700臺南市中西區藥王里臨安路一段89號3樓,22.9993238,120.1907124,
tainan熱點,仁德區三甲里關懷據點,社區發展,103,仁德區,三甲里,717臺南市仁德區三甲里三甲子11之5號,22.9326731,120.2368486,
tainan熱點,六甲區七甲里關懷據點,社區發展,103,六甲區,七甲里,734臺南市六甲區七甲里七甲街89巷4號,23.22192,120.34551,
tainan熱點,六甲區六甲里關懷據點,社區發展,103,六甲區,六甲里,734臺南市六甲區六甲里信義街238巷14弄17-1號,23.229746,120.349369,
tainan熱點,北門區三慈社區關懷據點,社區發展,103,北門區,三光里,727臺南市北門區三光里119號,23.2332276,120.1098472,
tainan熱點,北區力行里關懷據點,社區發展,103,北區,力行里,704臺南市北區力行里力行一街52號,23.0082926,120.2286683,
tainan熱點,北區安民社區關懷據點,社區發展,103,北區,安民里,704臺南市北區安民里海安路三段59號,23.0022084,120.1991827,
tainan熱點,左鎮區睦光社區關懷據點,社區發展,103,左鎮區,睦光里,713臺南市左鎮區睦光里3鄰24號,23.0601765,120.4213592,
tainan熱點,永康區六合社區關懷據點,社區發展,103,永康區,六合里,710臺南市永康區六合里中華二路358巷43號,23.0090957,120.2301482,
tainan熱點,永康區烏竹里關懷據點,社區發展,103,永康區,烏竹里,710臺南市永康區烏竹里烏竹北街85號,23.0451611,120.263187,
tainan熱點,永康區復興里關懷據點,社區發展,103,永康區,復興里,710臺南市永康區復興里復興路356巷13號,22.9990546,120.2413835,
tainan熱點,玉井區竹圍里關懷據點,社區發展,103,玉井區,竹圍里,714臺南市玉井區竹圍里武成街155巷7號,23.1337231,120.478965,
tainan熱點,白河區大林社區關懷據點,社區發展,103,白河區,大林里,732臺南市白河區大林里檨子林20-13號,23.3369326,120.4559258,
tainan熱點,白河區外角社區關懷據點,社區發展,103,白河區,外角里,732臺南市白河區外角里三民路26號,23.350125,120.425096,
tainan熱點,安平區虹橋傳道協會關懷據點,社區發展,103,安平區,虹橋里,708臺南市安平區虹橋里怡平路140巷29號,22.9934043,120.1647036,
tainan熱點,安定區中沙社區關懷據點,社區發展,103,安定區,中沙里,745臺南市安定區中沙里115-1號,23.072953,120.2079953,
tainan熱點,安定區新吉社區關懷據點,社區發展,103,安定區,新吉里,745臺南市安定區新吉里123-13號,23.0849044,120.2022239,
tainan熱點,安南區長安社區關懷據點,社區發展,103,安南區,長安里,709臺南市安南區長安里長溪路三段378號,23.0679397,120.1970935,
tainan熱點,西港區永樂里關懷據點,社區發展,103,西港區,永樂里,723臺南市西港區永樂里大塭寮59-35號,23.107367,120.17573,
tainan熱點,佳里區安西里關懷據點,社區發展,103,佳里區,安西里,722臺南市佳里區安西里光華街150巷2-2號,23.1650938,120.1745508,
tainan熱點,佳里區延平社區(頂廍)關懷據點,社區發展,103,佳里區,頂?里,722臺南市佳里區頂廍里117號,23.1747337,120.1517133,
tainan熱點,官田區東西庄社區關懷據點,社區發展,103,官田區,東庄里,720臺南市官田區東庄里130號,23.1823334,120.3003035,
tainan熱點,東山區東中里關懷據點,社區發展,103,東山區,東中里,733臺南市東山區東中里福安街2號,23.3186938,120.4001353,
tainan熱點,七股區城內里關懷據點,社區發展,103,七股區,城內里,701臺南市七股區3鄰16-3號,23.1786454,120.1430048,error
tainan熱點,南化區玉山社區關懷據點,社區發展,103,南化區,玉山里,716臺南市南化區玉山里65號,23.0913916,120.5394232,
tainan熱點,南區大恩社區關懷據點,社區發展,103,南區,大恩里,702臺南市南區大恩里大同路二段750巷186號,22.9770454,120.2127899,
tainan熱點,南區明興社區關懷據點,社區發展,103,南區,明興里,702臺南市南區明興里德興路88號,22.9652114,120.1923945,
tainan熱點,南區國宅社區關懷據點,社區發展,103,南區,國宅里,702臺南市南區國宅里金華路二段33巷81號,22.9770796,120.1885211,
tainan熱點,後壁區長安社區關懷據點,社區發展,103,後壁區,長安里,731臺南市後壁區長安里中寮105-1號,23.332633,120.356159,
tainan熱點,柳營區人和里關懷據點,社區發展,103,柳營區,人和里,736臺南市柳營區人和里柳營路三段420巷1弄2號,23.2944986,120.3135467,
tainan熱點,柳營區八翁社區關懷據點,社區發展,103,柳營區,八翁里,736臺南市柳營區八翁里62-4號,23.2694095,120.2945362,
tainan熱點,將軍區西和里關懷據點,社區發展,103,將軍區,西和里,725臺南市將軍區西華里130-15號,23.1982988,120.1546002,
tainan熱點,將軍區將軍社區關懷據點,社區發展,103,將軍區,將軍里,725臺南市將軍區將貴里20-1號,23.216018,120.138879,
tainan熱點,麻豆區油車里關懷據點,社區發展,103,麻豆區,油車里,721臺南市麻豆區油車里95號,23.1907984,120.241176,
tainan熱點,麻豆區紀安社區關懷據點,社區發展,103,麻豆區,謝安里,721臺南市麻豆區謝安里1鄰謝厝寮53號,23.148727,120.2372472,
tainan熱點,善化區小新社區關懷據點,社區發展,103,善化區,小新里,741臺南市善化區小新里小新營111-24號,23.122847,120.314351,
tainan熱點,善化區文正社區關懷據點,社區發展,103,善化區,文正里,741臺南市善化區文正里文正路25巷18號,23.1367005,120.2863826,
tainan熱點,新化區新化博愛關懷協會關懷據點,社區發展,103,新化區,護國里,712臺南市新化區護國里中山路207號,23.0363287,120.3099642,
tainan熱點,新市區社內社區關懷據點,社區發展,103,新市區,社內里,744臺南市新市區社內里167之2號,23.0765802,120.2801166,
tainan熱點,新市區新和里關懷據點,社區發展,103,新市區,新和里,744臺南市新市區忠孝街189號,23.0746615,120.2945089,
tainan熱點,新營區民榮社區關懷據點,社區發展,103,新營區,民榮里,730臺南市新營區南昌街135號,23.2998499,120.3122573,
tainan熱點,新營區南紙社區關懷據點,社區發展,103,新營區,南紙里,730臺南市新營區太子路200巷81號旁(南紙社區活動中心),23.303149,120.2946915,
tainan熱點,楠西區龜丹社區關懷據點,社區發展,103,楠西區,龜丹里,715臺南市楠西區龜丹里龜丹42號,23.134595,120.49599,
tainan熱點,學甲區新榮社區關懷據點,社區發展,103,學甲區,新榮里,726臺南市學甲區新榮里63號,23.225661,120.185549,
tainan熱點,龍崎區龍興社區關懷據點,社區發展,103,龍崎區,牛埔里,719臺南市龍崎區牛埔里21號,22.9285606,120.409835,
tainan熱點,歸仁區崙頂里關懷據點,社區發展,103,歸仁區,崙頂里,711臺南市歸仁區崙頂里崙頂街38號,22.9585049,120.2966019,
tainan熱點,關廟區東勢社區關懷據點,社區發展,103,關廟區,東勢里,718臺南市關廟區東勢里旺萊路139巷12號,22.9538511,120.334588,
tainan熱點,鹽水區大莊社區關懷據點,社區發展,103,鹽水區,大莊里,737臺南市鹽水區大莊里5-1號,23.3154466,120.2498238,
tainan熱點,鹽水區歡雅社區關懷據點,社區發展,103,鹽水區,歡雅里,737臺南市鹽水區歡雅里90號,23.2891373,120.2420657,
tainan熱點,中西區海安路地下停車場01號行人出入口,熱門商圈,103,中西區,民權里,700臺南市中西區海安路二段與民族路口,22.998204,120.197644,
tainan熱點,中西區海安路地下停車場08號行人出入口,熱門商圈,103,中西區,水仙里,700臺南市中西區海安路二段與民權路口,22.996818,120.197283,
tainan熱點,中西區海安路地下停車場15號行人出入口,熱門商圈,103,中西區,民權里,700臺南市中西區海安路二段與民生路口,22.995503,120.196505,
tainan熱點,中西區海安路地下停車場20號行人出入口,熱門商圈,103,中西區,中正里,700臺南市中西區海安路二段與正興街口,22.994291,120.196262,
tainan熱點,中西區海安路地下停車場27號行人出入口,熱門商圈,103,中西區,保安里,700臺南市中西區海安路二段與友愛街口,22.992679,120.195747,
tainan熱點,中西區海安路地下停車場30號行人出入口,熱門商圈,103,中西區,民主里,700臺南市中西區海安路二段與尊王路口,22.991828,120.195633,
tainan熱點,中西區海安路地下停車場31號行人出入口,熱門商圈,103,中西區,民主里,700臺南市中西區海安路二段與府前路口,22.991161,120.195487,
tainan熱點,臺南孔廟,觀光景點,102,中西區,永華里,700臺南市中西區永華里南門路2號,22.990271,120.20439,
tainan熱點,臺南公園,觀光景點,103,北區,公園里,704臺南市北區公園里公園路356號,23.0030787,120.210312,
tainan熱點,安平古堡,觀光景點,99,安平區,海頭里,708臺南市安平區海頭里國勝路82號,23.001525,120.160613,
tainan熱點,安平樹屋,觀光景點,99,安平區,西門里,708臺南市安平區西門里安北路194號,23.003381,120.159813,
tainan熱點,赤崁樓,觀光景點,99,中西區,赤崁里,700臺南市中西區赤崁里民族路212號,22.997218,120.2024239,
tainan熱點,佳里區中山公園,觀光景點,102,佳里區,六安里,722臺南市佳里區六安里延平路與安北路口,23.168788,120.178181,
tainan熱點,延平郡王祠,觀光景點,99,中西區,開山里,700臺南市中西區開山里開山路125號,22.988707,120.208071,
tainan熱點,東興洋行,觀光景點,99,安平區,西門里,708臺南市安平區西門里安北路233巷3號,23.0017826,120.1589746,
tainan熱點,虎頭埤風景管理所,觀光景點,99,新化區,東榮里,712臺南市新化區東榮里中興路42巷36號,23.026494,120.33694,
tainan熱點,南瀛綠都心,觀光景點,99,新營區,民權里,730臺南市新營區民權里中正路23號,23.30937,120.315099,
tainan熱點,梅嶺資訊站,觀光景點,100,楠西區,彎丘里,715臺南市楠西區彎丘里梅嶺3-10號,23.1859399,120.534551,
tainan熱點,菜寮化石館,觀光景點,99,左鎮區,榮和里,713臺南市左鎮區榮和里61-1號,23.0716338,120.3925467,
tainan熱點,黑面琵鷺賞鳥區,觀光景點,99,七股區,十份里,724臺南市七股區十份里海埔69號,23.0809776,120.0824535,
tainan熱點,運河司令臺,觀光景點,99,安平區,怡平里,708臺南市安平區怡平里建平十七街406號,22.997428,120.1774432,
tainan熱點,運河博物館,觀光景點,100,安平區,港仔里,708臺南市安平區港仔里安平路97-15號,22.9985267,120.1639199,
tainan熱點,臺南火車站旅服中心,觀光景點,100,東區,成大里,701臺南市東區成大里北門路二段4號,22.9971367,120.2129498,
tainan熱點,億載金城,觀光景點,99,安平區,億載里,708臺南市安平區億載里光州路3號,22.987883,120.1592551,
tainan熱點,關子嶺資訊站,觀光景點,100,白河區,關嶺里,732臺南市白河區關嶺里28-3號,23.337242,120.503993,
tainan熱點,關子嶺警光山莊,觀光景點,103,白河區,關嶺里,732臺南市白河區關嶺里關仔嶺16號,23.340007,120.504419,
tainan熱點,水萍塭公園,觀光景點,104,南區,廣洲里,702臺南市南區廣州里永華路與夏林路口,22.98665,120.193063,
