latitude,longitude
23.3144985,120.3101593
23.306763,120.3113575
23.3124054,120.3105128
23.3095263,120.3078525
23.0696012,120.2923535
23.222916,120.3412576
23.2310465,120.3120243
23.2140466,120.4415242
23.1948768,120.3550808
23.2064519,120.3637277
23.191679,120.3954282
23.3119567,120.3089541
23.3140845,120.3305516
23.3119567,120.3089541
23.3119567,120.3089541
23.6824273,120.4813341
23.3279664,120.2714642
23.3205646,120.2678726
23.313691,120.2654708
23.3029853,120.2573486
23.3236458,120.2685426
23.3198458,120.267698
23.3286506,120.2719458
23.3238234,120.2657785
23.3058872,120.2867225
23.2987082,120.2942409
23.310088,120.280496
23.301529,120.295216
23.2808886,120.2656955
23.2913836,120.312506
23.2727983,120.3291365
23.2666455,120.23269
23.112957,120.2036373
23.297579,120.349311
23.2774011,120.3579632
23.3313928,120.3178534
23.3093052,120.2993058
23.3119567,120.3089541
23.3119567,120.3089541
23.3029975,120.3189346
23.3168169,120.3279152
23.3166637,120.3171118
23.307312,120.319946
23.3167208,120.3185864
23.322096,120.330145
23.3188593,120.33094
23.3149141,120.3230799
23.3189271,120.3214994
23.302595,120.3134157
23.3031234,120.3069585
23.3070185,120.3136895
23.310966,120.3162537
23.3041044,120.3122876
23.3058158,120.3061784
23.3047849,120.2971569
23.3096262,120.3078047
23.3050506,120.3119163
23.3018113,120.3184873
23.311692,120.311111
23.3251854,120.2752819
23.3246802,120.260643
23.323961,120.2739
23.3416158,120.2830007
23.3119567,120.3089541
23.2867094,120.3709331
23.2613107,120.3579632
23.3061373,120.2952845
23.3100763,120.2988617
23.3109974,120.3091355
23.3128944,120.3027744
23.3118011,120.3025589
23.3184672,120.3079248
23.3072023,120.3161096
23.560288,120.3009504
23.322069,120.345115
23.3119567,120.3089541
23.3101209,120.2754947
23.2494369,120.4011911
23.3121679,120.3111166
23.3052412,120.3186131
23.3052412,120.3186131
23.6824273,120.4813341
23.3111797,120.3232933
23.313691,120.2654708
23.3069189,120.3125008
23.3689041,120.3060706
23.3678557,120.461686
23.3640976,120.4040725
23.0012709,120.2348576
22.5271443,120.4532511
23.3665101,120.3550808
23.3433044,120.3003035
23.3429894,120.3521983
23.3954488,120.4141567
23.2797005,120.4151588
23.3336369,120.4588059
23.3477725,120.3987743
23.3477725,120.3987743
23.3557196,120.3176041
23.336186,120.376808
23.3525829,120.4389034
23.358719,120.3587743
23.3472506,120.4157179
23.3502212,120.4154786
23.3235868,120.4033494
23.3554363,120.4125187
23.3502212,120.4154786
23.1911307,120.256266
23.2004933,120.2677102
23.1763401,120.2397336
23.1787994,120.2479645
23.195874,120.220632
23.1941262,120.2621092
23.1763401,120.2397336
23.1763401,120.2397336
23.1763401,120.2397336
23.2359353,120.2675736
23.2313803,120.2599433
23.2400064,120.2604064
23.2536847,120.2742568
23.23628,120.23826
23.0696012,120.2923535
23.1768373,120.2478034
23.1787994,120.2479645
23.2297937,120.2631941
23.246429,120.270022
23.2063807,120.2592844
23.2426813,120.3320195
23.1947072,120.318256
23.1948768,120.3550808
23.1948768,120.3550808
23.2235571,120.2830007
23.1627407,120.2469457
23.1673014,120.326574
23.1673014,120.326574
23.1921229,120.2094381
23.1834606,120.2938786
23.2061293,120.322478
23.2059301,120.3199322
23.2113355,120.320328
23.2171484,120.3234221
23.0236395,120.3086434
23.2293443,120.2709899
23.1913396,120.3255845
23.1873751,120.2508488
23.1913396,120.3255845
23.2306335,120.3514549
23.0236395,120.3086434
23.2310465,120.3120243
23.2419084,120.2664352
23.1787963,120.2522351
23.2426813,120.3320195
23.2293443,120.2709899
23.1948768,120.3550808
23.1950148,120.2656955
23.187256,120.232521
23.1913396,120.3255845
