停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄,latitude,longitude
路邊停車格收費路段,D00058,建業街(路邊停車格),  開山路口-南門路口   ,,-1,0,40,0,0,0,0,0,,20元/時 ☆剩餘格位:18,22.987810，120.206390,,22.98781,120.20639
路邊停車格收費路段,D00059,樹林街(路邊停車格),  大同路口-夏林路口   ,,-1,0,111,1,0,0,0,0,,20元/時 ☆剩餘格位:3,22.986191，120.202637,,22.986191,120.202637
路邊停車格收費路段,D00060,開山路-3(路邊停車格),  府前路口-大同路口兩側   ,,-1,0,46,2,0,0,0,0,,20元/時 ☆剩餘格位:5,22.988270，120.208198,,22.98827,120.208198
路邊停車格收費路段,D00061,文化路(路邊停車格),  仁和路至東門路3段間   ,,-1,0,8,0,0,0,0,0,,20元/時 ☆剩餘格位:4,22.977147，120.232504,,22.977147,120.232504
路邊停車格收費路段,D00062,文化二街(路邊停車格),  仁和路與文化三街   ,,-1,0,10,0,0,0,0,0,,20元/時 ☆剩餘格位:6,22.976585，120.233309,,22.976585,120.233309
路邊停車格收費路段,D00063,文化三街(路邊停車格),  文化一街至文化二街間   ,,-1,0,14,0,0,0,0,0,,20元/時 ☆剩餘格位:11,22.976465，120.232659,,22.976465,120.232659
路邊停車格收費路段,D00064,高發二路,  大武路-歸仁十五路，1111201收費   ,,-1,0,29,0,0,0,0,0,,20元/時 ☆剩餘格位:26,22.922559，120.291771,,22.922559,120.291771
路邊停車格收費路段,D00065,歸仁十路,  1110210收費   ,,-1,0,42,0,0,0,0,0,,20元/時 ☆剩餘格位:32,22.925944，120.283324,,22.925944,120.283324
路邊停車格收費路段,D00066,歸仁十二路,  1110210收費   ,,-1,0,33,0,0,0,0,0,,20元/時 ☆剩餘格位:24,22.922060，120.284869,,22.92206,120.284869
路邊停車格收費路段,D00067,歸仁大道88巷,  1110210收費   ,,-1,0,18,1,0,0,0,0,,20元/時 ☆剩餘格位:18,22.927189，120.283710,,22.927189,120.28371
